AAPL (APPLE INC),546.0255,-4.7445,
Dec 19 2013 @ 15:02 ET,Bid,545.97,Ask,546.09,Size,2x1,Vol,8897300,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
13 Dec 285.00 (AAPL1321L285-4),0.0,0.0,258.60,262.10,0,92,13 Dec 285.00 (AAPL1321X285-4),0.0,0.0,0.0,0.18,0,0,
13 Dec 285.00 (AAPL1321L285-8),235.10,0.0,258.60,262.10,0,92,13 Dec 285.00 (AAPL1321X285-8),0.0,0.0,0.0,0.05,0,0,
13 Dec 285.00 (AAPL1321L285-A),235.10,0.0,258.40,262.25,0,92,13 Dec 285.00 (AAPL1321X285-A),0.0,0.0,0.0,0.05,0,0,
13 Dec 285.00 (AAPL1321L285-B),0.0,0.0,258.55,262.45,0,92,13 Dec 285.00 (AAPL1321X285-B),0.0,0.0,0.0,0.05,0,0,
13 Dec 285.00 (AAPL1321L285-E),235.12,0.0,258.50,262.10,0,92,13 Dec 285.00 (AAPL1321X285-E),0.0,0.0,0.0,0.05,0,0,
13 Dec 285.00 (AAPL1321L285-I),0.0,0.0,258.50,261.95,0,92,13 Dec 285.00 (AAPL1321X285-I),0.0,0.0,0.0,0.14,0,0,
13 Dec 285.00 (AAPL1321L285-J),0.0,0.0,258.65,261.85,0,92,13 Dec 285.00 (AAPL1321X285-J),0.0,0.0,0.0,0.05,0,0,
13 Dec 285.00 (AAPL1321L285-O),0.0,0.0,258.55,262.10,0,92,13 Dec 285.00 (AAPL1321X285-O),0.0,0.0,0.0,0.17,0,0,
13 Dec 285.00 (AAPL1321L285-P),0.0,0.0,0.0,0.0,0,92,13 Dec 285.00 (AAPL1321X285-P),0.0,0.0,0.0,0.05,0,0,
13 Dec 285.00 (AAPL1321L285-S),0.0,0.0,258.65,262.10,0,92,13 Dec 285.00 (AAPL1321X285-S),0.0,0.0,0.0,0.05,0,0,
13 Dec 285.00 (AAPL1321L285-X),238.35,0.0,258.60,262.10,0,92,13 Dec 285.00 (AAPL1321X285-X),0.0,0.0,0.0,0.05,0,0,
13 Dec 285.00 (AAPL1321L285-Y),235.10,0.0,258.50,262.10,0,92,13 Dec 285.00 (AAPL1321X285-Y),0.0,0.0,0.0,0.05,0,0,
13 Dec 290.00 (AAPL1321L290),235.66,0.0,254.15,256.85,0,0,13 Dec 290.00 (AAPL1321X290),0.0,0.0,0.0,0.05,0,0,
13 Dec 290.00 (AAPL1321L290-4),0.0,0.0,254.10,257.10,0,0,13 Dec 290.00 (AAPL1321X290-4),0.0,0.0,0.0,0.22,0,0,
13 Dec 290.00 (AAPL1321L290-8),235.66,0.0,253.60,257.10,0,0,13 Dec 290.00 (AAPL1321X290-8),0.0,0.0,0.0,0.05,0,0,
13 Dec 290.00 (AAPL1321L290-A),234.00,0.0,253.50,257.15,0,0,13 Dec 290.00 (AAPL1321X290-A),0.0,0.0,0.0,0.05,0,0,
13 Dec 290.00 (AAPL1321L290-B),0.0,0.0,253.55,257.45,0,0,13 Dec 290.00 (AAPL1321X290-B),0.0,0.0,0.0,0.05,0,0,
13 Dec 290.00 (AAPL1321L290-E),226.50,0.0,253.50,257.15,0,0,13 Dec 290.00 (AAPL1321X290-E),0.0,0.0,0.0,0.05,0,0,
13 Dec 290.00 (AAPL1321L290-I),0.0,0.0,254.10,257.35,0,0,13 Dec 290.00 (AAPL1321X290-I),0.0,0.0,0.0,0.14,0,0,
13 Dec 290.00 (AAPL1321L290-J),0.0,0.0,254.15,256.85,0,0,13 Dec 290.00 (AAPL1321X290-J),0.0,0.0,0.0,0.05,0,0,
13 Dec 290.00 (AAPL1321L290-O),206.90,0.0,253.50,257.10,0,0,13 Dec 290.00 (AAPL1321X290-O),0.0,0.0,0.0,0.21,0,0,
13 Dec 290.00 (AAPL1321L290-P),0.0,0.0,253.60,257.10,0,0,13 Dec 290.00 (AAPL1321X290-P),0.0,0.0,0.0,0.05,0,0,
13 Dec 290.00 (AAPL1321L290-S),0.0,0.0,254.10,257.10,0,0,13 Dec 290.00 (AAPL1321X290-S),0.0,0.0,0.0,0.05,0,0,
