AAPL (APPLE INC),483.5696,+0.1596,
Oct 04 2013 @ 16:14 ET,Bid,483.55,Ask,483.57,Size,1x11,Vol,8802537,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
13 Oct 390.00 (AAPL1304J390-I),0.0,0.0,91.70,94.20,0,6,13 Oct 390.00 (AAPL1304V390-I),0.04,0.0,0.0,0.15,0,1225,
13 Oct 390.00 (AAPL1304J390-J),0.0,0.0,93.10,94.00,0,6,13 Oct 390.00 (AAPL1304V390-J),0.04,0.0,0.0,0.25,0,1225,
13 Oct 390.00 (AAPL1304J390-O),84.00,0.0,91.70,94.20,0,6,13 Oct 390.00 (AAPL1304V390-O),0.04,0.0,0.0,0.16,0,1225,
13 Oct 390.00 (AAPL1304J390-P),0.0,0.0,92.35,94.20,0,6,13 Oct 390.00 (AAPL1304V390-P),0.04,0.0,0.0,0.11,0,1225,
13 Oct 390.00 (AAPL1304J390-S),0.0,0.0,91.85,94.25,0,6,13 Oct 390.00 (AAPL1304V390-S),0.01,0.0,0.0,0.15,0,1225,
13 Oct 390.00 (AAPL1304J390-X),75.55,0.0,91.70,94.55,0,6,13 Oct 390.00 (AAPL1304V390-X),0.04,0.0,0.0,0.12,0,1225,
13 Oct 390.00 (AAPL1304J390-Y),0.0,0.0,93.10,94.00,0,6,13 Oct 390.00 (AAPL1304V390-Y),0.0,0.0,0.0,0.25,0,1225,
13 Oct 390.00 (AAPL71304J390),0.0,0.0,91.10,94.65,0,0,13 Oct 390.00 (AAPL71304V390),0.0,0.0,0.0,0.25,0,0,
13 Oct 390.00 (AAPL71304J390-4),0.0,0.0,90.85,94.70,0,0,13 Oct 390.00 (AAPL71304V390-4),0.0,0.0,0.0,0.25,0,0,
13 Oct 390.00 (AAPL71304J390-8),0.0,0.0,90.85,94.70,0,0,13 Oct 390.00 (AAPL71304V390-8),0.0,0.0,0.0,0.25,0,0,
13 Oct 390.00 (AAPL71304J390-A),0.0,0.0,91.20,94.70,0,0,13 Oct 390.00 (AAPL71304V390-A),0.0,0.0,0.0,0.25,0,0,
13 Oct 390.00 (AAPL71304J390-B),0.0,0.0,91.20,94.65,0,0,13 Oct 390.00 (AAPL71304V390-B),0.0,0.0,0.0,0.25,0,0,
13 Oct 390.00 (AAPL71304J390-E),0.0,0.0,91.00,94.65,0,0,13 Oct 390.00 (AAPL71304V390-E),0.0,0.0,0.0,0.25,0,0,
13 Oct 390.00 (AAPL71304J390-I),0.0,0.0,90.85,94.70,0,0,13 Oct 390.00 (AAPL71304V390-I),0.0,0.0,0.0,0.25,0,0,
13 Oct 390.00 (AAPL71304J390-J),0.0,0.0,0.0,0.0,0,0,13 Oct 390.00 (AAPL71304V390-J),0.0,0.0,0.0,0.0,0,0,
13 Oct 390.00 (AAPL71304J390-O),0.0,0.0,91.15,94.70,0,0,13 Oct 390.00 (AAPL71304V390-O),0.0,0.0,0.0,0.25,0,0,
13 Oct 390.00 (AAPL71304J390-P),0.0,0.0,0.0,0.0,0,0,13 Oct 390.00 (AAPL71304V390-P),0.0,0.0,0.0,0.0,0,0,
13 Oct 390.00 (AAPL71304J390-S),0.0,0.0,91.10,95.25,0,0,13 Oct 390.00 (AAPL71304V390-S),0.0,0.0,0.0,0.25,0,0,
13 Oct 390.00 (AAPL71304J390-X),0.0,0.0,91.15,94.70,0,0,13 Oct 390.00 (AAPL71304V390-X),0.0,0.0,0.0,0.25,0,0,
13 Oct 390.00 (AAPL71304J390-Y),0.0,0.0,90.85,94.70,0,0,13 Oct 390.00 (AAPL71304V390-Y),0.0,0.0,0.0,0.25,0,0,
